Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Pará;15;PA;8104880;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2124729292,29
Governo do Estado de Minas Gerais;31;MG;20734097;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;12788757100,71
Governo do Estado de Santa Catarina;42;SC;6727148;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1985602829,63
Governo do Estado do Amapá;16;AP;750912;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;450496124,49
Governo do Estado do Espírito Santo;32;ES;3885049;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1218466827,8
Governo do Estado de Roraima;14;RR;496936;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;292047483,8
Governo do Estado do Mato Grosso;51;MT;3224357;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1376025071,24
Governo do Estado do Ceará;23;CE;8842791;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1753469667,47
Governo do Estado do Paraná;41;PR;11081692;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3200613195,89
Governo do Estado de Rondônia;11;RO;1748531;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;911162930,16
Governo do Estado do Rio de Janeiro;33;RJ;16461173;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;8627506653,44
Governo do Estado de São Paulo;35;SP;44035304;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;11197084726,14
Governo do Estado de Pernambuco;26;PE;9277727;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2133617294,92
Governo do Estado do Piauí;22;PI;3194718;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;225759749,07
Governo do Estado do Amazonas;13;AM;3873743;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1354129104,93
Governo do Estado de Alagoas;27;AL;3321730;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1047591867,09
Governo do Distrito Federal;53;DF;2852372;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;604958319,63
Governo do Estado de Sergipe;28;SE;2219574;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;784087746,99
Governo do Estado do Maranhão;21;MA;6850884;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1127444760,17
Governo do Estado do Rio Grande do Norte;24;RN;3408510;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;793460844,66
Governo do Estado do Mato Grosso do Sul;50;MS;2619657;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1057123362,22
Governo do Estado da Bahia;29;BA;15126371;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3710967127,5
Governo do Estado do Acre;12;AC;790101;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;422789664,35
Governo do Estado do Tocantins;17;TO;1496880;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;629948561,89
Governo do Estado do Rio Grande do Sul;43;RS;11207274;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3005605326,03
Governo do Estado da Paraíba;25;PB;3943885;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;909921812,61
Governo do Estado de Goiás;52;GO;6523222;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2902522599,94
