Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2004744755,39
Governo do Estado do Mato Grosso do Sul;50;MS;2682386;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1116194010,79
Governo do Estado do Amapá;16;AP;782295;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;450858698,03
Governo do Estado de Pernambuco;26;PE;9410336;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2775175397,3
Governo do Estado do Pará;15;PA;8272724;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2711131960,52
Governo do Estado de Santa Catarina;42;SC;6910553;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2272593168,12
Governo do Estado do Espírito Santo;32;ES;3973697;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1357880466,51
Governo do Estado de Goiás;52;GO;6695855;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3391898321,32
Governo do Estado do Piauí;22;PI;3212180;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;731363539,1
Governo do Estado do Maranhão;21;MA;6954036;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1819823429,29
Governo do Estado do Ceará;23;CE;8963663;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2533499592,96
Governo do Estado do Amazonas;13;AM;4001667;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1715177655,49
Governo do Estado de Alagoas;27;AL;3358963;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1152617461,36
Governo do Estado do Tocantins;17;TO;1532902;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;869454361,74
Governo do Estado de Rondônia;11;RO;1787279;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;815249423,68
Governo do Estado da Paraíba;25;PB;3999415;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1263483457,00
Governo do Estado da Bahia;29;BA;15276566;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4292028772,43
Governo do Estado do Acre;12;AC;816687;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;579819877,47
Governo do Estado de São Paulo;35;SP;44749699;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;11325847798,33
Governo do Estado do Rio Grande do Sul;43;RS;11286500;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4344391578,55
Governo do Estado do Paraná;41;PR;11242720;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3579358424,34
Governo do Distrito Federal;53;DF;2977216;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;789058634,23
Governo do Estado de Minas Gerais;31;MG;20997560;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;14276773882,62
Governo do Estado do Rio de Janeiro;33;RJ;16635996;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9461473976,23
Governo do Estado de Sergipe;28;SE;2265779;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;892986186,11
Governo do Estado de Roraima;14;RR;514229;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;376350571,77
Governo do Estado do Rio Grande do Norte;24;RN;3474998;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;961445798,66
