Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14873064;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4301274307,75
Governo do Estado do Mato Grosso do Sul;50;MS;2778986;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1239098578,62
Governo do Estado do Piauí;22;PI;3273227;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;778257959,88
Governo do Estado de Santa Catarina;42;SC;7164788;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2351318096,13
Governo do Estado do Espírito Santo;32;ES;4018650;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1325086211,25
Governo do Estado de Pernambuco;26;PE;9557071;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2880151335,77
Governo do Estado do Mato Grosso;51;MT;3484466;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2473063944,07
Governo do Estado do Rio Grande do Sul;43;RS;11377239;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;5290862234,18
Governo do Estado de São Paulo;35;SP;45919049;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;11638997394,66
Governo do Estado da Paraíba;25;PB;4018127;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1398735056,95
Governo do Estado do Rio Grande do Norte;24;RN;3506853;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1024288412,7
Governo do Estado de Goiás;52;GO;7018354;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3135240199,99
Governo do Estado do Acre;12;AC;881935;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;481239719,07
Governo do Estado de Alagoas;27;AL;3337357;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1325167795,36
Governo do Distrito Federal;53;DF;3015268;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;893254504,76
Governo do Estado de Sergipe;28;SE;2298696;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;956459853,46
Governo do Estado de Minas Gerais;31;MG;21168791;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;14993280866,47
Governo do Estado do Paraná;41;PR;11433957;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3370586391,61
Governo do Estado do Amazonas;13;AM;4144597;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2068375322,94
Governo do Estado do Maranhão;21;MA;7075181;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1886936865,81
Governo do Estado do Ceará;23;CE;9132078;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2972428596,5
Governo do Estado do Rio de Janeiro;33;RJ;17264943;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9317466849,68
Governo do Estado do Tocantins;17;TO;1572866;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1044000277,1
Governo do Estado do Amapá;16;AP;845731;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;722548985,65
Governo do Estado de Rondônia;11;RO;1777225;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;971864351,59
Governo do Estado de Roraima;14;RR;605761;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;378960087,16
Governo do Estado do Pará;15;PA;8602865;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2952598687,52
