Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14930634;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4319232567,00
Governo do Estado do Rio Grande do Sul;43;RS;11422973;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;5513399328,83
Governo do Estado de Santa Catarina;42;SC;7252502;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2498076276,62
Governo do Estado de Goiás;52;GO;7113540;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3179193139,86
Governo do Estado do Piauí;22;PI;3281480;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;805179449,32
Governo do Estado do Paraná;41;PR;11516840;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3459075698,3
Governo do Estado do Espírito Santo;32;ES;4064052;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1484560625,78
Governo do Estado do Mato Grosso do Sul;50;MS;2809394;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1404733613,56
Governo do Estado de Pernambuco;26;PE;9616621;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2884598185,52
Governo do Estado do Acre;12;AC;894470;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;542440176,63
Governo do Distrito Federal;53;DF;3055149;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;903561520,99
Governo do Estado de Rondônia;11;RO;1796460;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1039152456,91
Governo do Estado da Paraíba;25;PB;4039277;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1433380830,3
Governo do Estado de São Paulo;35;SP;46289333;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;12616229094,01
Governo do Estado de Minas Gerais;31;MG;21292666;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;15913135742,78
Governo do Estado do Tocantins;17;TO;1590248;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1022460831,98
Governo do Estado do Maranhão;21;MA;7114598;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1897050096,54
Governo do Estado do Amazonas;13;AM;4207714;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2276422104,83
Governo do Estado do Mato Grosso;51;MT;3526220;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2746537613,83
Governo do Estado de Sergipe;28;SE;2318822;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1504447958,71
Governo do Estado do Rio Grande do Norte;24;RN;3534165;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1186634040,14
Governo do Estado do Rio de Janeiro;33;RJ;17366189;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9802587724,05
Governo do Estado de Alagoas;27;AL;3351543;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1320467623,05
Governo do Estado do Amapá;16;AP;861773;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;720583076,55
Governo do Estado do Pará;15;PA;8690745;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3229269412,76
Governo do Estado do Ceará;23;CE;9187103;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3186393887,75
Governo do Estado de Roraima;14;RR;631181;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;477594797,33
