Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3182366403,13
Governo do Estado do Rio Grande do Sul;43;RS;11466630;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;6486335959,62
Governo do Estado de Goiás;52;GO;7206589;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3451974835,87
Governo do Estado da Bahia;29;BA;14985284;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;5151760218,53
Governo do Estado do Acre;12;AC;906876;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;929907362,4
Governo do Estado do Rio de Janeiro;33;RJ;17463349;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;13651511239,35
Governo do Estado do Espírito Santo;32;ES;4108508;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2028006873,63
Governo do Estado de Pernambuco;26;PE;9674793;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3320671005,89
Governo do Estado do Paraná;41;PR;11597484;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4338231292,14
Governo do Estado do Piauí;22;PI;3289290;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;957023498,46
Governo do Estado da Paraíba;25;PB;4059905;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1756622202,34
Governo do Estado de Rondônia;11;RO;1815278;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1483588503,9
Governo do Estado do Tocantins;17;TO;1607363;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1121375003,03
Governo do Estado do Mato Grosso do Sul;50;MS;2839188;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1954103796,47
Governo do Estado de Alagoas;27;AL;3365351;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1583072100,53
Governo do Estado de Roraima;14;RR;652713;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;588909722,01
Governo do Estado do Amazonas;13;AM;4269995;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2601261750,58
Governo do Distrito Federal;53;DF;3094325;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1044983398,47
Governo do Estado do Mato Grosso;51;MT;3567234;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3220150997,38
Governo do Estado de Minas Gerais;31;MG;21411923;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;18698237836,66
Governo do Estado do Maranhão;21;MA;7153262;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2046619327,98
Governo do Estado de Sergipe;28;SE;2338474;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1252127303,32
Governo do Estado do Rio Grande do Norte;24;RN;3560903;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1347601639,86
Governo do Estado do Amapá;16;AP;877613;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;878492078,71
Governo do Estado de São Paulo;35;SP;46649132;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;13914347576,37
Governo do Estado do Pará;15;PA;8777124;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4056231178,34
Governo do Estado do Ceará;23;CE;9240580;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4076369554,38
