Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;3885049;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1173298989,54
Governo do Estado de Santa Catarina;42;SC;6727148;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1944320735,02
Governo do Estado da Paraíba;25;PB;3943885;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;847816055,34
Governo do Estado de Rondônia;11;RO;1748531;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;868369232,47
Governo do Estado do Amapá;16;AP;750912;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;58295314,94
Governo do Estado do Pará;15;PA;8104880;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1880019533,5
Governo do Estado do Rio Grande do Sul;43;RS;11207274;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2952369787,2
Governo do Estado do Rio de Janeiro;33;RJ;16461173;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;7657171155,00
Governo do Estado de São Paulo;35;SP;44035304;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;10320854297,75
Governo do Estado do Amazonas;13;AM;3873743;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1314347762,66
Governo do Estado de Alagoas;27;AL;3321730;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1063247125,37
Governo do Estado de Goiás;52;GO;6523222;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2142828391,49
Governo do Estado de Pernambuco;26;PE;9277727;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2184447091,24
Governo do Estado do Maranhão;21;MA;6850884;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1075634170,4
Governo do Estado do Rio Grande do Norte;24;RN;3408510;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;738229501,88
Governo do Estado do Mato Grosso do Sul;50;MS;2619657;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;940514817,74
Governo do Estado do Mato Grosso;51;MT;3224357;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1096635966,14
Governo do Estado do Acre;12;AC;790101;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;440648133,27
Governo do Estado de Minas Gerais;31;MG;20734097;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9999958383,36
Governo do Estado do Ceará;23;CE;8842791;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1654828648,23
Governo do Estado do Tocantins;17;TO;1496880;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;575893649,08
Governo do Distrito Federal;53;DF;2852372;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;732101130,85
Governo do Estado da Bahia;29;BA;15126371;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3422137254,58
Governo do Estado do Piauí;22;PI;3194718;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;58611439,36
Governo do Estado do Paraná;41;PR;11081692;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2455633907,51
Governo do Estado de Sergipe;28;SE;2219574;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;740953856,49
Governo do Estado de Roraima;14;RR;496936;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;241750503,54
