Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1852416215,9
Governo do Estado do Ceará;23;CE;8963663;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2048599129,8
Governo do Estado do Piauí;22;PI;3212180;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;812617326,52
Governo do Estado de Rondônia;11;RO;1787279;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;779523753,27
Governo do Estado do Mato Grosso do Sul;50;MS;2682386;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1235268448,81
Governo do Estado do Amapá;16;AP;782295;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;447686649,35
Governo do Estado de Alagoas;27;AL;3358963;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1121306009,4
Governo do Estado do Acre;12;AC;816687;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;506393234,63
Governo do Estado da Bahia;29;BA;15276566;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4059868816,81
Governo do Estado de Minas Gerais;31;MG;20997560;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;14061121696,67
Governo do Estado de Santa Catarina;42;SC;6910553;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2195018385,18
Governo do Estado de Sergipe;28;SE;2265779;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;845584455,32
Governo do Estado do Pará;15;PA;8272724;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2323451896,21
Governo do Estado do Maranhão;21;MA;6954036;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1560029194,73
Governo do Estado de São Paulo;35;SP;44749699;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;11473029302,61
Governo do Estado de Pernambuco;26;PE;9410336;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2529880338,52
Governo do Estado da Paraíba;25;PB;3999415;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1152515773,4
Governo do Estado do Rio de Janeiro;33;RJ;16635996;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;8552219680,66
Governo do Estado de Goiás;52;GO;6695855;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3332358223,76
Governo do Estado do Espírito Santo;32;ES;3973697;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1294299598,5
Governo do Estado do Tocantins;17;TO;1532902;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;797250754,8
Governo do Estado do Rio Grande do Sul;43;RS;11286500;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3709976464,17
Governo do Distrito Federal;53;DF;2977216;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;745509635,19
Governo do Estado do Amazonas;13;AM;4001667;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1411427539,63
Governo do Estado do Rio Grande do Norte;24;RN;3474998;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;858659061,72
Governo do Estado do Paraná;41;PR;11242720;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4005811767,00
Governo do Estado de Roraima;14;RR;514229;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;383725591,56
