Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2892252835,04
Governo do Estado de Santa Catarina;42;SC;7075494;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2255215261,78
Governo do Estado de Rondônia;11;RO;1757589;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;813715399,14
Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1198526176,96
Governo do Estado do Piauí;22;PI;3264531;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;851089755,17
Governo do Estado da Paraíba;25;PB;3996496;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1330366298,34
Governo do Distrito Federal;53;DF;2974703;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;825276748,29
Governo do Estado do Rio Grande do Norte;24;RN;3479010;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1090534387,19
Governo do Estado do Espírito Santo;32;ES;3972388;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1311580321,52
Governo do Estado do Amapá;16;AP;829494;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;552215231,77
Governo do Estado do Acre;12;AC;869265;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;660178009,42
Governo do Estado do Amazonas;13;AM;4080611;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2011381251,93
Governo do Estado do Ceará;23;CE;9075649;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2698889557,46
Governo do Estado do Rio Grande do Sul;43;RS;11329605;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4757558851,85
Governo do Estado do Tocantins;17;TO;1555229;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1070221091,23
Governo do Estado do Pará;15;PA;8513497;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2832033196,54
Governo do Estado de Sergipe;28;SE;2278308;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;958348463,78
Governo do Estado de Alagoas;27;AL;3322820;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1115833764,44
Governo do Estado do Paraná;41;PR;11348937;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3444551316,5
Governo do Estado de São Paulo;35;SP;45538936;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;11800303005,15
Governo do Estado de Goiás;52;GO;6921161;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3643720859,68
Governo do Estado do Mato Grosso;51;MT;3441998;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2367502201,9
Governo do Estado do Rio de Janeiro;33;RJ;17159960;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9654124451,45
Governo do Estado da Bahia;29;BA;14812617;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4506107994,55
Governo do Estado de Minas Gerais;31;MG;21040662;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;14395520898,66
Governo do Estado do Maranhão;21;MA;7035055;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1916301001,3
Governo do Estado de Roraima;14;RR;576568;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;271890053,55
