Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Piauí;22;PI;3204028;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;695096776,00
Governo do Estado do Acre;12;AC;803513;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;434114223,37
Governo do Estado do Espírito Santo;32;ES;3929911;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1275243310,39
Governo do Estado do Pará;15;PA;8175113;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2220348191,37
Governo do Estado de Santa Catarina;42;SC;6819190;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2135862573,92
Governo do Estado de Rondônia;11;RO;1768204;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;723414364,18
Governo do Estado do Mato Grosso;51;MT;3265486;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1759673246,81
Governo do Estado do Amapá;16;AP;766679;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;407758934,37
Governo do Distrito Federal;53;DF;2914830;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;657761083,86
Governo do Estado da Paraíba;25;PB;3972202;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1082056430,96
Governo do Estado de Pernambuco;26;PE;9345173;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2314708998,81
Governo do Estado do Rio Grande do Norte;24;RN;3442175;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1052873025,12
Governo do Estado do Ceará;23;CE;8904459;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1878699039,68
Governo do Estado do Mato Grosso do Sul;50;MS;2651235;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1213709545,04
Governo do Estado do Rio de Janeiro;33;RJ;16550024;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;9154615317,51
Governo do Estado de Alagoas;27;AL;3340932;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1032406706,97
Governo do Estado de Sergipe;28;SE;2242937;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;820592198,04
Governo do Estado do Maranhão;21;MA;6904241;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1361929381,71
Governo do Estado da Bahia;29;BA;15203934;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4114985183,62
Governo do Estado de São Paulo;35;SP;44396484;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;10930825568,65
Governo do Estado do Tocantins;17;TO;1515126;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;728928896,44
Governo do Estado de Minas Gerais;31;MG;20869101;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;13476355447,41
Governo do Estado do Amazonas;13;AM;3938336;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;1392572123,73
Governo do Estado do Paraná;41;PR;11163018;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3653990738,41
Governo do Estado do Rio Grande do Sul;43;RS;11247972;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;3278888397,51
Governo do Estado de Goiás;52;GO;6610681;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2941659247,38
Governo do Estado de Roraima;14;RR;505665;Despesas Liquidadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;349790845,7
